h3_index,time_bucket,value
882a100de7fffff,2026-08-17 02:00,37
882a1072edfffff,2026-08-17 02:00,1
882a107705fffff,2026-08-17 02:00,30
882a107293fffff,2026-08-17 02:00,68
882a100d31fffff,2026-08-17 02:00,51
882a100d21fffff,2026-08-17 02:00,60
882a100d35fffff,2026-08-17 02:00,78
882a100de7fffff,2026-08-17 02:00,91
882a1072c3fffff,2026-08-17 02:00,36
882a100d15fffff,2026-08-17 02:00,53
882a107729fffff,2026-08-17 02:00,80
882a100dadfffff,2026-08-17 02:00,29
882a10772dfffff,2026-08-17 02:00,22
882a100d2dfffff,2026-08-17 02:00,18
882a100da1fffff,2026-08-17 02:00,87
882a1070cbfffff,2026-08-17 02:00,8
882a100dedfffff,2026-08-17 02:00,64
882a107281fffff,2026-08-17 02:00,52
882a107743fffff,2026-08-17 02:00,59
882a10772dfffff,2026-08-17 02:00,6
882a100dbdfffff,2026-08-17 02:00,87
882a1072d1fffff,2026-08-17 02:00,6
882a107755fffff,2026-08-17 02:00,70
882a107749fffff,2026-08-17 02:00,10
882a107217fffff,2026-08-17 02:00,91
882a107233fffff,2026-08-17 02:00,82
882a107291fffff,2026-08-17 02:00,28
882a1072edfffff,2026-08-17 02:00,47
882a1072b9fffff,2026-08-17 02:00,24
882a1072e1fffff,2026-08-17 02:00,15
882a107213fffff,2026-08-17 02:00,98
882a100dadfffff,2026-08-17 04:00,85
882a1072b7fffff,2026-08-17 04:00,77
882a100dedfffff,2026-08-17 04:00,67
882a100db7fffff,2026-08-17 04:00,90
882a107213fffff,2026-08-17 04:00,93
882a10723bfffff,2026-08-17 04:00,30
882a107231fffff,2026-08-17 04:00,23
882a107765fffff,2026-08-17 04:00,78
882a100dbdfffff,2026-08-17 04:00,35
882a100da5fffff,2026-08-17 04:00,31
882a107747fffff,2026-08-17 04:00,82
882a10721bfffff,2026-08-17 04:00,46
882a10776dfffff,2026-08-17 04:00,23
882a100d15fffff,2026-08-17 04:00,58
882a100de5fffff,2026-08-17 04:00,75
882a107239fffff,2026-08-17 04:00,59
882a107741fffff,2026-08-17 04:00,41
882a1072bdfffff,2026-08-17 04:00,42
882a100d21fffff,2026-08-17 04:00,60
882a100de7fffff,2026-08-17 04:00,48
882a1072edfffff,2026-08-17 04:00,97
882a107705fffff,2026-08-17 04:00,39
882a107293fffff,2026-08-17 04:00,46
882a100d31fffff,2026-08-17 04:00,20
882a100d21fffff,2026-08-17 04:00,20
882a100d35fffff,2026-08-17 04:00,77
882a100de7fffff,2026-08-17 04:00,28
882a1072c3fffff,2026-08-17 04:00,2
882a100d15fffff,2026-08-17 04:00,42
882a107729fffff,2026-08-17 04:00,38
882a100dadfffff,2026-08-17 04:00,41
882a10772dfffff,2026-08-17 04:00,7
882a100d2dfffff,2026-08-17 04:00,68
882a100da1fffff,2026-08-17 04:00,59
882a1070cbfffff,2026-08-17 04:00,57
882a100dedfffff,2026-08-17 04:00,96
882a107281fffff,2026-08-17 04:00,16
882a107743fffff,2026-08-17 04:00,18
882a10772dfffff,2026-08-17 04:00,37
882a100dbdfffff,2026-08-17 04:00,49
882a1072d1fffff,2026-08-17 04:00,74
882a107755fffff,2026-08-17 04:00,12
882a107749fffff,2026-08-17 04:00,98
882a107217fffff,2026-08-17 04:00,33
882a107233fffff,2026-08-17 04:00,8
882a107291fffff,2026-08-17 04:00,77
882a1072edfffff,2026-08-17 04:00,27
882a1072b9fffff,2026-08-17 04:00,57
882a1072e1fffff,2026-08-17 04:00,44
882a107213fffff,2026-08-17 04:00,20
